Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
117.0,1982.0,8.1,84.0,693827,32868943.0
94.0,1979.0,8.1,77.0,367250,20045115.0
183.0,1978.0,8.1,86.0,311361,48979328.0
120.0,1976.0,8.1,70.0,518546,117235247.0
130.0,1974.0,8.1,92.0,294230,29000000.0
102.0,1973.0,8.1,77.0,42285,30933743.0
127.0,1967.0,8.1,92.0,161984,16217773.0
121.0,1966.0,8.1,96.0,53089,55908.0
134.0,1962.0,8.1,75.0,50058,4050000.0
212.0,1959.0,8.1,90.0,219466,74700000.0
161.0,1957.0,8.1,87.0,203463,44908000.0
108.0,1954.0,8.1,91.0,142107,9600000.0
111.0,1951.0,8.1,72.0,31568,3969893.0
104.0,1949.0,8.1,97.0,158731,449191.0
99.0,1940.0,8.1,96.0,28450,203300.0
130.0,1940.0,8.1,86.0,123942,4360000.0
129.0,1939.0,8.1,73.0,107017,9600000.0
238.0,1939.0,8.1,97.0,290074,198676459.0
105.0,1934.0,8.1,87.0,94016,4360000.0
128.0,2016.0,8.0,94.0,505918,151101803.0
118.0,2016.0,8.0,69.0,213970,51739495.0
144.0,2015.0,8.0,80.0,760094,228433663.0
108.0,2016.0,8.0,78.0,434143,341268248.0
137.0,2013.0,8.0,89.0,38746,1506975.0
113.0,2017.0,8.0,66.0,141923,132422809.0
154.0,2019.0,8.0,65.0,31886,5566534.0
96.0,2013.0,8.0,82.0,81770,1010414.0
150.0,2014.0,8.0,71.0,114316,2625803.0
114.0,2014.0,8.0,73.0,685201,91125683.0
121.0,2014.0,8.0,76.0,1043455,333176600.0
164.0,2017.0,8.0,81.0,461823,92054159.0
126.0,2013.0,8.0,90.0,540772,25568251.0
134.0,2018.0,8.0,49.0,450349,216428042.0
156.0,2015.0,8.0,76.0,705589,183637894.0
103.0,2012.0,8.0,67.0,462252,17738570.0
115.0,2010.0,8.0,71.0,79200,100119.0
118.0,2010.0,8.0,88.0,639603,138797449.0
146.0,2011.0,8.0,62.0,428521,169708112.0
108.0,2016.0,8.0,65.0,902669,363070709.0
119.0,2009.0,8.0,87.0,45803,106662.0
165.0,2010.0,8.0,50.0,98575,4018695.0
120.0,2008.0,8.0,84.0,798882,141319928.0
108.0,2010.0,8.0,79.0,699673,106954678.0
115.0,2007.0,8.0,33.0,98097,8060.0
143.0,2012.0,8.0,69.0,1260806,623279547.0
96.0,2007.0,8.0,90.0,88656,4445756.0
117.0,2013.0,8.0,80.0,441614,27298285.0
117.0,2006.0,8.0,64.0,448930,163566459.0
143.0,2006.0,8.0,64.0,499439,57366262.0
115.0,2007.0,8.0,85.0,604694,227471070.0
88.0,2004.0,8.0,72.0,50610,238507.0
124.0,2005.0,8.0,74.0,738512,74103820.0
112.0,2007.0,8.0,92.0,103284,5990075.0
111.0,2007.0,8.0,96.0,641645,206445654.0
144.0,2006.0,8.0,80.0,582239,167445960.0
137.0,2004.0,8.0,83.0,683900,66208183.0
110.0,2003.0,8.0,82.0,42399,502028.0
103.0,2003.0,8.0,85.0,77520,2380788.0
126.0,2014.0,8.0,74.0,77554,2086345.0
144.0,2005.0,8.0,69.0,176151,61649911.0
186.0,2003.0,8.0,54.0,63460,1787378.0
101.0,2002.0,8.0,75.0,117857,169659.0
143.0,2003.0,8.0,63.0,1015122,305413918.0
